areaType,areaName,areaCode,date,hospitalCases
overview,United Kingdom,K02000001,2021-06-14,1182
overview,United Kingdom,K02000001,2021-06-13,1141
overview,United Kingdom,K02000001,2021-06-12,1106
overview,United Kingdom,K02000001,2021-06-11,1077
overview,United Kingdom,K02000001,2021-06-10,1095
overview,United Kingdom,K02000001,2021-06-09,1064
overview,United Kingdom,K02000001,2021-06-08,1057
overview,United Kingdom,K02000001,2021-06-07,1035
overview,United Kingdom,K02000001,2021-06-06,964
overview,United Kingdom,K02000001,2021-06-05,938
overview,United Kingdom,K02000001,2021-06-04,965
overview,United Kingdom,K02000001,2021-06-03,938
overview,United Kingdom,K02000001,2021-06-02,961
overview,United Kingdom,K02000001,2021-06-01,930
overview,United Kingdom,K02000001,2021-05-31,929
overview,United Kingdom,K02000001,2021-05-30,907
overview,United Kingdom,K02000001,2021-05-29,887
overview,United Kingdom,K02000001,2021-05-28,886
overview,United Kingdom,K02000001,2021-05-27,872
overview,United Kingdom,K02000001,2021-05-26,895
overview,United Kingdom,K02000001,2021-05-25,921
overview,United Kingdom,K02000001,2021-05-24,960
overview,United Kingdom,K02000001,2021-05-23,924
overview,United Kingdom,K02000001,2021-05-22,887
overview,United Kingdom,K02000001,2021-05-21,922
overview,United Kingdom,K02000001,2021-05-20,912
overview,United Kingdom,K02000001,2021-05-19,918
overview,United Kingdom,K02000001,2021-05-18,898
overview,United Kingdom,K02000001,2021-05-17,943
overview,United Kingdom,K02000001,2021-05-16,941
overview,United Kingdom,K02000001,2021-05-15,966
overview,United Kingdom,K02000001,2021-05-14,976
overview,United Kingdom,K02000001,2021-05-13,1001
overview,United Kingdom,K02000001,2021-05-12,1068
overview,United Kingdom,K02000001,2021-05-11,1106
overview,United Kingdom,K02000001,2021-05-10,1129
overview,United Kingdom,K02000001,2021-05-09,1118
overview,United Kingdom,K02000001,2021-05-08,1137
overview,United Kingdom,K02000001,2021-05-07,1157
overview,United Kingdom,K02000001,2021-05-06,1159
overview,United Kingdom,K02000001,2021-05-05,1238
overview,United Kingdom,K02000001,2021-05-04,1295
overview,United Kingdom,K02000001,2021-05-03,1303
overview,United Kingdom,K02000001,2021-05-02,1285
overview,United Kingdom,K02000001,2021-05-01,1287
overview,United Kingdom,K02000001,2021-04-30,1366
overview,United Kingdom,K02000001,2021-04-29,1464
overview,United Kingdom,K02000001,2021-04-28,1515
overview,United Kingdom,K02000001,2021-04-27,1572
overview,United Kingdom,K02000001,2021-04-26,1649
overview,United Kingdom,K02000001,2021-04-25,1626
overview,United Kingdom,K02000001,2021-04-24,1673
overview,United Kingdom,K02000001,2021-04-23,1749
overview,United Kingdom,K02000001,2021-04-22,1791
overview,United Kingdom,K02000001,2021-04-21,1893
overview,United Kingdom,K02000001,2021-04-20,1926
overview,United Kingdom,K02000001,2021-04-19,2007
overview,United Kingdom,K02000001,2021-04-18,1983
overview,United Kingdom,K02000001,2021-04-17,2035
overview,United Kingdom,K02000001,2021-04-16,2140
overview,United Kingdom,K02000001,2021-04-15,2195
overview,United Kingdom,K02000001,2021-04-14,2295
overview,United Kingdom,K02000001,2021-04-13,2408
overview,United Kingdom,K02000001,2021-04-12,2492
overview,United Kingdom,K02000001,2021-04-11,2549
overview,United Kingdom,K02000001,2021-04-10,2650
overview,United Kingdom,K02000001,2021-04-09,2793
overview,United Kingdom,K02000001,2021-04-08,2872
overview,United Kingdom,K02000001,2021-04-07,3019
overview,United Kingdom,K02000001,2021-04-06,3143
overview,United Kingdom,K02000001,2021-04-05,3255
overview,United Kingdom,K02000001,2021-04-04,3229
overview,United Kingdom,K02000001,2021-04-03,3244
overview,United Kingdom,K02000001,2021-04-02,3376
overview,United Kingdom,K02000001,2021-04-01,3557
overview,United Kingdom,K02000001,2021-03-31,3742
overview,United Kingdom,K02000001,2021-03-30,3976
overview,United Kingdom,K02000001,2021-03-29,4197
overview,United Kingdom,K02000001,2021-03-28,4185
overview,United Kingdom,K02000001,2021-03-27,4436
overview,United Kingdom,K02000001,2021-03-26,4485
overview,United Kingdom,K02000001,2021-03-25,4583
overview,United Kingdom,K02000001,2021-03-24,4880
overview,United Kingdom,K02000001,2021-03-23,5150
overview,United Kingdom,K02000001,2021-03-22,5431
overview,United Kingdom,K02000001,2021-03-21,5448
overview,United Kingdom,K02000001,2021-03-20,5567
overview,United Kingdom,K02000001,2021-03-19,5880
overview,United Kingdom,K02000001,2021-03-18,6150
overview,United Kingdom,K02000001,2021-03-17,6585
overview,United Kingdom,K02000001,2021-03-16,6847
overview,United Kingdom,K02000001,2021-03-15,7207
overview,United Kingdom,K02000001,2021-03-14,7315
overview,United Kingdom,K02000001,2021-03-13,7384
overview,United Kingdom,K02000001,2021-03-12,7728
overview,United Kingdom,K02000001,2021-03-11,8066
overview,United Kingdom,K02000001,2021-03-10,8436
overview,United Kingdom,K02000001,2021-03-09,9009
overview,United Kingdom,K02000001,2021-03-08,9474
overview,United Kingdom,K02000001,2021-03-07,9459
overview,United Kingdom,K02000001,2021-03-06,9711
overview,United Kingdom,K02000001,2021-03-05,10312
overview,United Kingdom,K02000001,2021-03-04,10933
overview,United Kingdom,K02000001,2021-03-03,11523
overview,United Kingdom,K02000001,2021-03-02,12139
overview,United Kingdom,K02000001,2021-03-01,12894
overview,United Kingdom,K02000001,2021-02-28,12788
overview,United Kingdom,K02000001,2021-02-27,13269
overview,United Kingdom,K02000001,2021-02-26,14077
overview,United Kingdom,K02000001,2021-02-25,14849
overview,United Kingdom,K02000001,2021-02-24,15534
overview,United Kingdom,K02000001,2021-02-23,16115
overview,United Kingdom,K02000001,2021-02-22,16855
overview,United Kingdom,K02000001,2021-02-21,16857
overview,United Kingdom,K02000001,2021-02-20,17042
overview,United Kingdom,K02000001,2021-02-19,17860
overview,United Kingdom,K02000001,2021-02-18,18522
overview,United Kingdom,K02000001,2021-02-17,19449
overview,United Kingdom,K02000001,2021-02-16,20215
overview,United Kingdom,K02000001,2021-02-15,20994
overview,United Kingdom,K02000001,2021-02-14,21054
overview,United Kingdom,K02000001,2021-02-13,20970
overview,United Kingdom,K02000001,2021-02-12,22324
overview,United Kingdom,K02000001,2021-02-11,23411
overview,United Kingdom,K02000001,2021-02-10,24417
overview,United Kingdom,K02000001,2021-02-09,25689
overview,United Kingdom,K02000001,2021-02-08,26744
overview,United Kingdom,K02000001,2021-02-07,26800
overview,United Kingdom,K02000001,2021-02-06,26914
overview,United Kingdom,K02000001,2021-02-05,28383
overview,United Kingdom,K02000001,2021-02-04,29413
overview,United Kingdom,K02000001,2021-02-03,30604
overview,United Kingdom,K02000001,2021-02-02,31766
overview,United Kingdom,K02000001,2021-02-01,32960
overview,United Kingdom,K02000001,2021-01-31,32586
overview,United Kingdom,K02000001,2021-01-30,33015
overview,United Kingdom,K02000001,2021-01-29,33847
overview,United Kingdom,K02000001,2021-01-28,34909
