areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
overview,United Kingdom,K02000001,2020-05-10,916,98822
overview,United Kingdom,K02000001,2020-05-09,944,97906
overview,United Kingdom,K02000001,2020-05-08,910,96962
overview,United Kingdom,K02000001,2020-05-07,1166,96052
overview,United Kingdom,K02000001,2020-05-06,1206,94886
overview,United Kingdom,K02000001,2020-05-05,1146,93680
overview,United Kingdom,K02000001,2020-05-04,1249,92534
overview,United Kingdom,K02000001,2020-05-03,1188,91285
overview,United Kingdom,K02000001,2020-05-02,1181,90097
overview,United Kingdom,K02000001,2020-05-01,1263,88916
overview,United Kingdom,K02000001,2020-04-30,1442,87653
overview,United Kingdom,K02000001,2020-04-29,1488,86211
overview,United Kingdom,K02000001,2020-04-28,1518,84723
overview,United Kingdom,K02000001,2020-04-27,1538,83205
overview,United Kingdom,K02000001,2020-04-26,1355,81667
overview,United Kingdom,K02000001,2020-04-25,1253,80312
overview,United Kingdom,K02000001,2020-04-24,1525,79059
overview,United Kingdom,K02000001,2020-04-23,1514,77534
overview,United Kingdom,K02000001,2020-04-22,1529,76020
overview,United Kingdom,K02000001,2020-04-21,1712,74491
overview,United Kingdom,K02000001,2020-04-20,1734,72779
overview,United Kingdom,K02000001,2020-04-19,1657,71045
overview,United Kingdom,K02000001,2020-04-18,1629,69388
overview,United Kingdom,K02000001,2020-04-17,1967,67759
overview,United Kingdom,K02000001,2020-04-16,2011,65792
overview,United Kingdom,K02000001,2020-04-15,1880,63781
overview,United Kingdom,K02000001,2020-04-14,2088,61901
overview,United Kingdom,K02000001,2020-04-13,2162,59813
overview,United Kingdom,K02000001,2020-04-12,2066,57651
overview,United Kingdom,K02000001,2020-04-11,2163,55585
overview,United Kingdom,K02000001,2020-04-10,2463,53422
overview,United Kingdom,K02000001,2020-04-09,2629,50959
overview,United Kingdom,K02000001,2020-04-08,2967,48330
overview,United Kingdom,K02000001,2020-04-07,3150,45363
overview,United Kingdom,K02000001,2020-04-06,3046,42213
overview,United Kingdom,K02000001,2020-04-05,2916,39167
overview,United Kingdom,K02000001,2020-04-04,2922,36251
overview,United Kingdom,K02000001,2020-04-03,2930,33329
overview,United Kingdom,K02000001,2020-04-02,3286,30399
overview,United Kingdom,K02000001,2020-04-01,3567,27113
overview,United Kingdom,K02000001,2020-03-31,2832,23546
overview,United Kingdom,K02000001,2020-03-30,3192,20714
overview,United Kingdom,K02000001,2020-03-29,2489,17522
overview,United Kingdom,K02000001,2020-03-28,2192,15033
overview,United Kingdom,K02000001,2020-03-27,2229,12841
overview,United Kingdom,K02000001,2020-03-26,1929,10612
overview,United Kingdom,K02000001,2020-03-25,2085,8683
overview,United Kingdom,K02000001,2020-03-24,1718,6598
overview,United Kingdom,K02000001,2020-03-23,1274,4880
